task,finetuned_on,method,wbit,sparsity,group_size,em_acc,em_acc_lb,em_acc_ub,filesize,compression_rate
answer_verification,answer_verification,fmzip,2,0.0,1024,50.5758,49.31887620533204,51.83272379466797,224.57,11.577681791868905
answer_verification,answer_verification,fmzip,2,0.9,1024,51.6617,50.40538722472293,52.91801277527707,128.7,20.202020202020204
answer_verification,answer_verification,fmzip,2,0.95,1024,50.9378,49.68101397069268,52.19458602930733,100.09,25.97662104106304
answer_verification,answer_verification,fmzip,2,0.99,1024,50.4442,49.18724245743049,51.70115754256952,73.93,35.168402542946026
answer_verification,answer_verification,fmzip,3,0.0,1024,50.8391,49.58226987291871,52.0959301270813,362.35,7.175382917069132
answer_verification,answer_verification,fmzip,3,0.9,1024,51.2998,50.04321766100082,52.55638233899917,162.42,16.007880802856793
answer_verification,answer_verification,fmzip,3,0.95,1024,50.8391,49.58226987291871,52.0959301270813,119.24,21.804763502180478
answer_verification,answer_verification,fmzip,3,0.99,1024,50.51,49.25305824273321,51.76694175726679,79.01,32.90722693329958
answer_verification,answer_verification,fmzip,4,0.0,1024,50.8391,49.58226987291871,52.0959301270813,461.47,5.634169068411814
answer_verification,answer_verification,fmzip,4,0.9,1024,51.1681,49.9114359249317,52.42476407506831,172.6,15.063731170336037
answer_verification,answer_verification,fmzip,4,0.95,1024,50.9049,49.648098726934656,52.16170127306534,125.55,20.70888092393469
answer_verification,answer_verification,fmzip,4,0.99,1024,50.6746,49.4177072657874,51.93149273421261,80.94,32.122559920929085
answer_verification,answer_verification,gptq,2,None,1024,0.0,0.0,0.0,515.87,5.04002946478764
answer_verification,answer_verification,gptq,3,None,1024,50.2139,48.95690435399552,51.470895646004486,694.53,3.7435387960203306
answer_verification,answer_verification,gptq,4,None,1024,51.0365,49.77976296920683,52.29323703079316,795.31,3.2691654826419887
answer_verification,answer_verification,uncompressed,None,None,None,51.4643,50.20783201568379,52.72076798431622,2600.0,1.0
coherence_classification,coherence_classification,fmzip,3,0.0,1024,50.8976,50.00433731653875,51.79086268346125,351.44,7.398133394035966
coherence_classification,coherence_classification,fmzip,3,0.9,1024,49.8504,48.95699734285975,50.74380265714025,160.46,16.20341518135361
coherence_classification,coherence_classification,fmzip,3,0.95,1024,49.7839,48.89050168825,50.67729831175001,116.95,22.231722958529286
coherence_classification,coherence_classification,fmzip,3,0.99,1024,49.7174,48.824007614032254,50.61079238596775,73.76,35.24945770065076
coherence_classification,coherence_classification,fmzip,4,0.0,1024,50.6483,49.7549684455837,51.5416315544163,449.19,5.78819653153454
coherence_classification,coherence_classification,fmzip,4,0.9,1024,49.9169,49.023494577838456,50.81030542216154,172.22,15.096968993148298
coherence_classification,coherence_classification,fmzip,4,0.95,1024,49.7507,48.85730444913533,50.64409555086468,123.16,21.11075024358558
coherence_classification,coherence_classification,fmzip,4,0.99,1024,49.7174,48.824007614032254,50.61079238596775,76.03,34.19702748914902
coherence_classification,coherence_classification,gptq,2,None,1024,0.7148,0.5642732417301927,0.8653267582698073,514.34,5.055021969903176
coherence_classification,coherence_classification,gptq,3,None,1024,50.3823,49.48891945918013,51.27568054081988,691.23,3.7614108183961923
coherence_classification,coherence_classification,gptq,4,None,1024,50.5319,49.63854389745948,51.42525610254052,791.7,3.284072249589491
coherence_classification,coherence_classification,uncompressed,None,None,None,47.6064,46.71401765382674,48.49878234617327,2600.0,1.0
gender_classification,gender_classification,fmzip,2,0.0,1024,57.4268,56.31864730434483,58.53495269565517,173.18,15.013280979327867
gender_classification,gender_classification,fmzip,2,0.9,1024,57.5314,56.4236019537377,58.63919804626229,70.38,36.94231315714692
gender_classification,gender_classification,fmzip,2,0.95,1024,51.2814,50.16118473154316,52.40161526845684,44.81,58.02276277616603
gender_classification,gender_classification,fmzip,2,0.99,1024,50.6015,49.48099776352898,51.72200223647101,22.3,116.59192825112108
gender_classification,gender_classification,fmzip,3,0.0,1024,56.773,55.66274529742393,57.88325470257608,312.19,8.328261635542459
gender_classification,gender_classification,fmzip,3,0.9,1024,64.1213,63.04633664372891,65.1962633562711,105.85,24.563060935285783
gender_classification,gender_classification,fmzip,3,0.95,1024,52.0921,50.97249803668928,53.211701963310745,63.23,41.11972165111498
gender_classification,gender_classification,fmzip,3,0.99,1024,50.6015,49.48099776352898,51.72200223647101,25.64,101.40405616224649
gender_classification,gender_classification,fmzip,4,0.0,1024,56.6684,55.55782731018838,57.77897268981162,413.12,6.293570875290472
gender_classification,gender_classification,fmzip,4,0.9,1024,62.5262,61.44135164094118,63.61104835905884,115.94,22.425392444367777
gender_classification,gender_classification,fmzip,4,0.95,1024,52.1444,51.02484773861261,53.2639522613874,71.11,36.56307129798903
gender_classification,gender_classification,fmzip,4,0.99,1024,50.6015,49.48099776352898,51.72200223647101,28.81,90.24644220756682
gender_classification,gender_classification,gptq,2,None,1024,0.0,0.0,0.0,512.64,5.071785268414482
gender_classification,gender_classification,gptq,3,None,1024,45.3713,44.25552867551065,46.48707132448935,680.22,3.822292787627532
gender_classification,gender_classification,gptq,4,None,1024,34.2835,33.21971480869794,35.34728519130205,779.08,3.3372696000410738
gender_classification,gender_classification,uncompressed,None,None,None,42.3902,41.282671099056905,43.497728900943095,2600.0,1.0
irony_detection,irony_detection,fmzip,2,0.0,1024,61.1208,58.2935239510828,63.948076048917216,146.23,17.7802092593859
irony_detection,irony_detection,fmzip,2,0.9,1024,58.669,55.8130056855132,61.52499431448678,41.68,62.380038387715935
irony_detection,irony_detection,fmzip,2,0.95,1024,58.4939,55.63613645237838,61.35166354762161,32.99,78.8117611397393
irony_detection,irony_detection,fmzip,2,0.99,1024,58.4939,55.63613645237838,61.35166354762161,21.81,119.21137093076571
irony_detection,irony_detection,fmzip,3,0.0,1024,61.296,58.4710612762818,64.12093872371821,240.76,10.799136069114471
irony_detection,irony_detection,fmzip,3,0.9,1024,60.0701,57.22960958708841,62.91059041291157,55.32,46.99927693420101
irony_detection,irony_detection,fmzip,3,0.95,1024,58.669,55.8130056855132,61.52499431448678,35.84,72.54464285714285
irony_detection,irony_detection,fmzip,3,0.99,1024,58.3187,55.45920340232261,61.17819659767739,22.31,116.53966831017482
irony_detection,irony_detection,fmzip,4,0.0,1024,61.8214,59.00370191764376,64.63909808235623,294.57,8.82642495841396
irony_detection,irony_detection,fmzip,4,0.9,1024,60.4203,57.584061638545535,63.25653836145445,81.44,31.925343811394892
irony_detection,irony_detection,fmzip,4,0.95,1024,59.7198,56.875207762989824,62.56439223701018,51.18,50.801094177413056
irony_detection,irony_detection,fmzip,4,0.99,1024,58.1436,55.28240844619248,61.00479155380752,24.6,105.6910569105691
irony_detection,irony_detection,gptq,2,None,1024,0.0,0.0,0.0,516.67,5.032225598544526
irony_detection,irony_detection,gptq,3,None,1024,56.042,53.16333707600953,58.92066292399048,692.66,3.753645367135391
irony_detection,irony_detection,gptq,4,None,1024,60.9457,58.11612634782271,63.7752736521773,793.81,3.2753429662009803
irony_detection,irony_detection,uncompressed,None,None,None,62.3468,59.536691629701146,65.15690837029886,2600.0,1.0
toxic_language_detection,toxic_language_detection,fmzip,2,0.0,1024,35.7505,35.28013438876877,36.220865611231226,280.84,9.257940464321322
toxic_language_detection,toxic_language_detection,fmzip,2,0.9,1024,35.8708,35.40008496653489,36.34151503346512,213.89,12.155781008929825
toxic_language_detection,toxic_language_detection,fmzip,2,0.95,1024,32.551,32.091135852825715,33.01086414717429,180.06,14.4396312340331
toxic_language_detection,toxic_language_detection,fmzip,2,0.99,1024,19.9238,19.53178973355395,20.31581026644605,146.34,17.76684433511002
toxic_language_detection,toxic_language_detection,fmzip,3,0.0,1024,33.0675,32.60577984701601,33.529220152984,426.97,6.089420802398295
toxic_language_detection,toxic_language_detection,fmzip,3,0.9,1024,34.0404,33.57535394944253,34.50544605055747,241.25,10.77720207253886
toxic_language_detection,toxic_language_detection,fmzip,3,0.95,1024,31.7687,31.31176842359613,32.22563157640387,196.63,13.222804251640136
toxic_language_detection,toxic_language_detection,fmzip,3,0.99,1024,18.8406,18.456825243398704,19.224374756601296,151.83,17.124415464664427
toxic_language_detection,toxic_language_detection,fmzip,4,0.0,1024,33.0976,32.63577363054492,33.55942636945508,522.07,4.9801750723083105
toxic_language_detection,toxic_language_detection,fmzip,4,0.9,1024,33.6091,33.14550115436889,34.07269884563111,253.53,10.255196623673728
toxic_language_detection,toxic_language_detection,fmzip,4,0.95,1024,31.6484,31.1919325138505,32.104867486149494,203.28,12.790240062967335
toxic_language_detection,toxic_language_detection,fmzip,4,0.99,1024,19.2618,18.874767359884636,19.648832640115373,154.2,16.861219195849547
toxic_language_detection,toxic_language_detection,gptq,2,None,1024,0.0,0.0,0.0,517.04,5.028624477796689
toxic_language_detection,toxic_language_detection,gptq,3,None,1024,29.492,29.04446094863446,29.939539051365543,695.1,3.7404689972665803
toxic_language_detection,toxic_language_detection,gptq,4,None,1024,32.1097,31.65147200937393,32.56792799062607,795.63,3.2678506340887097
toxic_language_detection,toxic_language_detection,uncompressed,None,None,None,29.7277,29.2791277892704,30.176272210729604,2600.0,1.0
word_semantics,word_semantics,fmzip,2,0.0,1024,53.1485,52.03522370986492,54.261776290135074,201.86,12.880214009709698
word_semantics,word_semantics,fmzip,2,0.9,1024,27.7274,26.72869524624811,28.72610475375189,91.82,28.31627096493139
word_semantics,word_semantics,fmzip,2,0.95,1024,23.944,22.99194772254586,24.89605227745414,65.93,39.435765205521
word_semantics,word_semantics,fmzip,2,0.99,1024,20.6789,19.77534668305067,21.58245331694933,40.38,64.38831104507182
word_semantics,word_semantics,fmzip,3,0.0,1024,54.7551,53.64466585262379,55.865534147376216,344.15,7.554845270957432
word_semantics,word_semantics,fmzip,3,0.9,1024,30.6556,29.626976808804567,31.684223191195432,121.86,21.33595929755457
word_semantics,word_semantics,fmzip,3,0.95,1024,25.8357,24.85913024141353,26.812269758586467,83.01,31.321527526803997
word_semantics,word_semantics,fmzip,3,0.99,1024,21.0935,20.183321824626915,22.00367817537308,44.7,58.165548098434
word_semantics,word_semantics,fmzip,4,0.0,1024,55.0661,53.95635059541858,56.17584940458141,447.49,5.810185702473798
word_semantics,word_semantics,fmzip,4,0.0,128,54.0295,52.91763824523371,55.14136175476628,459.37,5.65992555021007
word_semantics,word_semantics,fmzip,4,0.0,16,52.3193,51.20501065535896,53.43358934464104,499.58,5.204371672204652
word_semantics,word_semantics,fmzip,4,0.0,32,52.682,51.56811585855999,53.795884141440034,478.82,5.430015454659371
word_semantics,word_semantics,fmzip,4,0.0,64,53.9777,52.86574541211808,55.08965458788191,466.78,5.570075838724882
word_semantics,word_semantics,fmzip,4,0.9,1024,30.6038,29.575662436820576,31.63193756317942,132.61,19.60636452756202
word_semantics,word_semantics,fmzip,4,0.9,128,30.9666,29.93509319400191,31.998106805998088,137.56,18.900843268391974
word_semantics,word_semantics,fmzip,4,0.9,16,31.5108,30.47437837685064,32.547221623149355,167.99,15.477111732841239
word_semantics,word_semantics,fmzip,4,0.9,32,31.7181,30.679849653996044,32.75635034600396,150.98,17.22082395019208
word_semantics,word_semantics,fmzip,4,0.9,64,31.433,30.39727086211578,32.468729137884225,142.53,18.241773661685258
word_semantics,word_semantics,fmzip,4,0.95,1024,25.4211,24.449693824334457,26.39250617566555,88.24,29.465095194922938
word_semantics,word_semantics,fmzip,4,0.99,1024,21.1713,20.25989449123065,22.082705508769347,47.1,55.20169851380042
word_semantics,word_semantics,fmzip,8,0.0,1024,54.3923,53.28112234028224,55.503477659717774,810.16,3.209242618741977
word_semantics,word_semantics,fmzip,8,0.0,16,42.0057,40.90456016890236,43.10683983109764,832.84,3.1218481340953845
word_semantics,word_semantics,fmzip,8,0.0,32,47.5512,46.4370485684317,48.66535143156831,823.2,3.1584062196307094
word_semantics,word_semantics,fmzip,8,0.0,64,50.9977,49.88243202593939,52.11296797406061,815.34,3.1888537297323816
word_semantics,word_semantics,fmzip,8,0.9,1024,30.7593,29.729709201209797,31.78889079879021,216.04,12.03480836882059
word_semantics,word_semantics,fmzip,8,0.9,128,30.0855,29.06230608492495,31.108693915075047,310.09,8.384662517333679
word_semantics,word_semantics,fmzip,8,0.9,16,24.0218,23.068690106728894,24.9749098932711,361.29,7.196434996816961
word_semantics,word_semantics,fmzip,8,0.9,32,25.9134,24.935875309749637,26.89092469025036,342.22,7.597451931506048
word_semantics,word_semantics,fmzip,8,0.9,64,28.2457,27.241325122867107,29.2500748771329,329.09,7.90057431097876
word_semantics,word_semantics,fmzip,8,0.95,1024,25.3952,24.42412022759086,26.366279772409147,131.85,19.719378081152826
word_semantics,word_semantics,fmzip,8,0.99,1024,20.9381,20.030388239612503,21.84581176038749,59.76,43.50736278447122
word_semantics,word_semantics,gptq,2,None,1024,0.0,0.0,0.0,519.4,5.005775895263766
word_semantics,word_semantics,gptq,3,None,1024,40.3213,39.226908669840064,41.415691330159945,692.14,3.7564654549657583
word_semantics,word_semantics,gptq,4,None,1024,56.0508,54.943508161885966,57.15809183811403,792.47,3.280881295190985
word_semantics,word_semantics,uncompressed,None,None,None,61.8036,60.71963862598597,62.887561374014034,2600.0,1.0
